vertex1_key,vertex2_key,edge_type,edge_dir,ra1_deg,dec1_deg,ra2_deg,dec2_deg,x1,y1,z1,x2,y2,z2,constellation
673,672,M,+,1.418,10.0,1.418,12.5,0.9845061702650784,0.0243702914004381,0.1736481776669303,0.9759970309685594,0.0241596576731074,0.2164396139381028,PSC PEG
672,671,P,+,1.418,12.5,3.543,12.5,0.9759970309685594,0.0241596576731074,0.2164396139381028,0.9744300134576284,0.0603327638293735,0.2164396139381028,PSC PEG
32,31,P,+,1.418,28.0,2.418,28.0,0.8826772032729278,0.0218496351835897,0.4694715627858908,0.882161438545796,0.037251148682764,0.4694715627858908,PEG AND
560,561,P,+,1.418,-75.0,12.668,-75.0,0.258739785614166,0.0064047988349391,-0.9659258262890684,0.2525186589179048,0.0567593605151036,-0.9659258262890684,HYI TUC
559,558,P,+,1.418,-82.5,53.918,-82.5,0.130486220512374,0.0032300327958048,-0.9914448613738104,0.0768724207572579,0.1054879982859898,-0.9914448613738104,OCT HYI
559,560,M,+,1.418,-82.5,1.418,-75.0,0.130486220512374,0.0032300327958048,-0.9914448613738104,0.258739785614166,0.0064047988349391,-0.9659258262890684,HYI OCT
32,33,M,+,1.418,28.0,1.418,31.33333333333333,0.8826772032729278,0.0218496351835897,0.4694715627858908,0.853894868856974,0.02113716237429,0.5200161279292155,AND PEG
30,29,P,+,2.418,22.0,3.543,22.0,0.9263583133996464,0.0391174560099221,0.374606593415912,0.9254117289165792,0.0572977499815937,0.374606593415912,PEG AND
30,31,M,+,2.418,22.0,2.418,28.0,0.9263583133996464,0.0391174560099221,0.374606593415912,0.882161438545796,0.037251148682764,0.4694715627858908,AND PEG
28,29,M,+,3.543,21.0,3.543,22.0,0.931796075084934,0.05769304286488,0.3583679495453002,0.9254117289165792,0.0572977499815937,0.374606593415912,AND PEG
671,28,M,+,3.543,12.5,3.543,21.0,0.9744300134576284,0.0603327638293735,0.2164396139381028,0.931796075084934,0.05769304286488,0.3583679495453002,PSC PEG
28,27,P,+,3.543,21.0,14.168,21.0,0.931796075084934,0.05769304286488,0.3583679495453002,0.9051829677018524,0.2285086600572597,0.3583679495453002,PSC AND
8,7,M,+,3.918,46.0,3.918,48.0,0.6930348579624719,0.0474651166403901,0.7193398003386512,0.6675667557706715,0.0457208372188655,0.7431448254773942,CAS AND
8,9,P,+,3.918,46.0,14.418,46.0,0.6930348579624719,0.0474651166403901,0.7193398003386512,0.6727800947309811,0.172965880399926,0.7193398003386512,AND CAS
